ref_id,head,tail,start codon,stop codon
B0001.8d.2,1.0,1711,13,942
B0001.8d.3,1.0,2028,13,942
B0001.8d.4,1.0,1867,13,942
B0019.1.1,1.0,2356,13,2187
B0019.2.1,1.0,2345,3,2246
B0024.1.1,1.0,1044,58,951
B0024.10.1,1.0,1837,1,1722
B0024.11.1,1.0,1816,1,1734
B0024.12.1,1.0,498,1,498
B0024.13.1,1.0,1026,8,937
B0024.14a.1,1.0,2992,4,2706
B0024.14b.1,1.0,2969,69,2969
B0024.14d.1,1.0,2715,1,2715
B0024.14f.1,1.0,2628,1,2628
B0024.15.1,1.0,1074,9,1043
B0024.2.1,1.0,1008,44,937
B0024.3.1,1.0,899,17,781
B0024.4.1,1.0,1353,34,1206
B0024.6a.1,1.0,3249,1,3249
B0024.6b.1,1.0,3261,1,3261
B0024.8a.1,1.0,3969,30,3878
B0024.8b.1,1.0,2354,191,2263
B0024.8c.1,1.0,1806,1,1806
B0024.8d.1,1.0,1934,47,1846
B0024.9a.1,1.0,522,1,438
B0024.9b.1,1.0,360,1,360
B0025.1a.1,1.0,2802,3,2708
B0025.1c.1,1.0,2696,3,2696
B0025.2.1,1.0,1629,24,1511
B0025.2.2,1.0,1625,17,1504
B0025.4.1,1.0,585,7,453
B0025.5.1,1.0,389,67,288
B0034.1.1,1.0,1139,176,940
B0034.1.2,1.0,978,15,779
B0034.2.1,1.0,120,1,120
B0034.3a.1,1.0,3442,40,2994
B0034.3b.1,1.0,1134,181,684
B0034.3c.1,1.0,483,1,483
B0034.3d.1,1.0,543,1,543
B0034.4.1,1.0,1240,515,1165
B0034.5.1,1.0,1280,13,1050
B0034.7.1,1.0,412,101,337
B0035.10.1,1.0,411,1,411
B0035.11.1,1.0,1438,1,1293
B0035.12.1,1.0,2814,22,2532
B0035.12.2,1.0,2854,99,2609
B0035.13.1,1.0,949,18,911
B0035.14a.1,1.0,1668,8,1213
B0035.14b.1,1.0,141,1,141
B0035.15.1,1.0,993,5,856
B0035.16.1,1.0,1206,7,1134
B0035.18.1,1.0,335,9,281
B0035.1a.1,1.0,1332,29,925
B0035.1b.1,1.0,1236,29,1054
B0035.2.1,1.0,1256,5,1018
B0035.21.1,1.0,316,97,264
B0035.22.1,1.0,30,1,30
B0035.3.1,1.0,780,32,643
B0035.4.1,1.0,548,2,382
B0035.5.1,1.0,1745,3,1571
B0035.6.1,1.0,2486,7,2190
B0035.7.1,1.0,384,1,384
B0035.8.1,1.0,372,1,372
B0035.9.1,1.0,312,1,312
B0041.1.1,1.0,656,268,618
B0041.11.1,1.0,1401,259,399
B0041.11.2,1.0,789,15,155
B0041.12.1,1.0,33,1,33
B0041.2a.1,1.0,3135,181,2301
B0041.2a.2,1.0,2975,22,2142
B0041.2b.1,1.0,3137,61,2301
B0041.2c.1,1.0,2978,28,2142
B0041.2d.1,1.0,2247,1,2247
B0041.2e.1,1.0,3075,55,2241
B0041.2f.1,1.0,3066,55,2235
B0041.2g.1,1.0,2913,24,2084
B0041.3.1,1.0,549,36,515
B0041.4.1,1.0,1119,7,1044
B0041.5a.1,1.0,1535,69,1358
B0041.5c.1,1.0,1393,76,1218
B0041.6a.1,1.0,464,1,423
B0041.6b.1,1.0,414,1,414
B0041.7.1,1.0,4317,25,4104
B0041.8.1,1.0,756,1,600
B0047.1.1,1.0,1315,183,998
B0047.1.2,1.0,1749,617,1432
B0047.3.1,1.0,832,21,749
B0047.4.1,1.0,561,1,561
B0198.1.1,1.0,1415,15,854
B0198.2a.1,1.0,858,1,858
B0198.2b.1,1.0,1381,327,1259
B0198.2b.2,1.0,1284,230,1162
B0198.3a.1,1.0,3531,77,3118
B0198.3a.2,1.0,3474,24,3065
B0205.10.1,1.0,1493,87,1454
B0205.10.2,1.0,1442,34,1401
B0205.11.1,1.0,934,9,839
B0205.12.1,1.0,231,13,165
B0205.13.1,1.0,453,87,386
B0205.14.1,1.0,364,80,307
B0205.14.2,1.0,1092,808,1035
B0205.14.3,1.0,401,117,344
B0205.1a.1,1.0,2614,69,2342
B0205.1b.1,1.0,2121,1,2121
B0205.2a.1,1.0,1317,391,1317
B0205.2b.1,1.0,990,1,990
B0205.3.1,1.0,1290,34,1074
B0205.4.1,1.0,1335,67,1266
B0205.5.1,1.0,99,1,99
B0205.6.1,1.0,1431,53,1291
B0205.7.1,1.0,1475,18,1100
B0205.8.1,1.0,505,16,378
B0205.9.1,1.0,1833,14,1612
B0207.1.1,1.0,1955,245,1939
B0207.1.2,1.0,1862,152,1846
B0207.10.1,1.0,276,13,258
B0207.11.1,1.0,884,58,804
B0207.12a.1,1.0,2118,1,1251
B0207.12a.2,1.0,2017,7,1257
B0207.12a.3,1.0,2369,3,1253
B0207.12b.1,1.0,1461,1,1293
B0207.12c.1,1.0,2279,7,726
B0207.2.1,1.0,815,61,636
B0207.2.2,1.0,900,139,714
B0207.3.1,1.0,1370,30,1256
B0207.4.1,1.0,1112,8,925
B0207.4.2,1.0,1191,82,999
B0207.5a.1,1.0,11033,1,10965
B0207.5b.1,1.0,11038,1,10995
B0207.6.1,1.0,987,14,820
B0207.7.1,1.0,1384,93,1214
B0207.9.1,1.0,482,15,440
B0207.9.2,1.0,537,70,495
B0212.1a.1,1.0,2011,24,1871
B0212.1b.1,1.0,2259,1,2259
B0212.1c.1,1.0,2272,240,2135
B0212.2.1,1.0,1229,11,1189
B0212.3.1,1.0,2107,17,2035
B0212.4a.1,1.0,1345,9,1157
B0212.4b.1,1.0,1495,186,1337
B0212.4c.1,1.0,1135,36,977
B0212.4d.1,1.0,997,499,882
B0212.4d.2,1.0,709,139,522
B0212.4d.3,1.0,554,13,396
B0212.5.1,1.0,2875,1,2814
B0213.10.1,1.0,1591,27,1526
B0213.11a.1,1.0,1722,147,1643
B0213.11b.1,1.0,1490,437,1417
B0213.11c.1,1.0,1326,1,1326
B0213.12.1,1.0,1579,1,1500
B0213.14.1,1.0,1584,15,1514
B0213.15a.1,1.0,1656,57,1556
B0213.15b.1,1.0,1665,16,1566
B0213.15c.1,1.0,360,1,360
B0213.15d.1,1.0,411,1,411
B0213.16.1,1.0,1571,2,1501
B0213.17.1,1.0,264,7,186
B0213.2.1,1.0,316,41,259
B0213.3.1,1.0,335,35,232
B0213.4.1,1.0,354,23,244
B0213.5.1,1.0,714,403,612
B0213.6.1,1.0,451,124,351
B0213.7.1,1.0,1002,1,1002
B0213.8.1,1.0,1089,1,1089
B0213.9.1,1.0,1103,1,1035
B0218.1.1,1.0,1823,36,1754
B0218.1.2,1.0,1802,16,1734
B0218.1.3,1.0,1793,7,1725
B0218.2.1,1.0,1922,7,1722
B0218.3.1,1.0,1671,13,1146
B0218.5.1,1.0,1925,760,1863
B0218.6a.1,1.0,1021,25,951
B0218.6b.1,1.0,555,1,555
B0218.7.1,1.0,1076,156,1004
B0218.8.1,1.0,974,8,934
B0222.1.1,1.0,977,45,902
B0222.11.1,1.0,1335,149,1219
B0222.15.1,1.0,479,44,394
B0222.2.1,1.0,1485,1,1485
B0222.3.1,1.0,1622,3,1487
B0222.4.1,1.0,1770,7,1635
B0222.5.1,1.0,1522,4,1113
B0222.6.1,1.0,1009,16,900
B0222.7.1,1.0,960,17,901
B0222.8.1,1.0,966,18,902
B0222.9.1,1.0,3829,5,3778
B0228.1.1,1.0,1401,666,1340
B0228.4a.1,1.0,5205,1,4902
B0228.4c.1,1.0,23420,1,23118
B0228.4d.1,1.0,4503,1,4140
B0228.4e.1,1.0,8109,1,8109
B0228.5a.1,1.0,552,25,372
B0228.5b.1,1.0,586,62,406
B0228.6.1,1.0,1052,11,892
B0228.7.1,1.0,917,13,879
B0228.7.2,1.0,1443,531,1397
B0228.8.1,1.0,1365,1,1365
B0228.9.1,1.0,1332,1,1332
B0238.1.1,1.0,1811,76,1713
B0238.10.1,1.0,1097,27,863
B0238.10.2,1.0,1049,33,869
B0238.11.1,1.0,1119,6,959
B0238.12.1,1.0,2663,2060,2560
B0238.12.2,1.0,1361,758,1258
B0238.15.1,1.0,249,1,249
B0238.3.1,1.0,843,1,843
B0238.5a.1,1.0,971,36,971
B0238.6.1,1.0,972,1,972
B0238.7.1,1.0,1737,1,1737
B0238.8.1,1.0,1012,60,947
B0238.9.1,1.0,2018,40,1458
B0240.1.1,1.0,1455,2,1375
B0240.2.1,1.0,2546,29,2353
B0240.3a.1,1.0,4172,369,3602
B0240.3b.1,1.0,2580,1,2580
B0240.4.1,1.0,1965,3,1769
B0244.10a.1,1.0,1357,29,1135
B0244.10b.1,1.0,1192,36,329
B0244.15.1,1.0,1155,1,1155
B0244.16.1,1.0,1083,1,1083
B0244.17.1,1.0,1059,1,1059
B0244.2.1,1.0,2591,57,2360
B0244.4a.1,1.0,960,1,930
B0244.4b.1,1.0,1182,1,1077
B0244.4c.1,1.0,891,1,891
B0244.5.1,1.0,1235,1,1089
B0244.6.1,1.0,1581,1,1125
B0244.7.1,1.0,1095,1,1095
B0244.8.1,1.0,1795,4,1659
B0244.9.1,1.0,632,39,581
B0250.1.1,1.0,864,7,789
B0250.10.1,1.0,921,1,852
B0250.18a.1,1.0,2773,2428,2589
B0250.18b.1,1.0,66,1,66
B0250.2.1,1.0,842,171,704
B0250.5.1,1.0,1081,8,907
B0250.6.1,1.0,852,1,852
B0250.7b.1,1.0,117,1,117
B0250.8.1,1.0,501,1,501
B0250.9.1,1.0,1481,14,1387
B0252.1.1,1.0,2695,94,2523
B0252.11.1,1.0,298,1,240
B0252.2.1,1.0,1790,13,1707
B0252.3a.1,1.0,1727,666,1559
B0252.3a.2,1.0,1591,530,1423
B0252.3a.3,1.0,1877,819,1712
B0252.3a.4,1.0,1829,771,1664
B0252.3b.1,1.0,1455,1,1455
B0252.3c.1,1.0,1419,25,1419
B0252.4a.1,1.0,641,4,447
B0252.4b.1,1.0,621,2,487
B0252.5.1,1.0,794,86,715
B0252.8.1,1.0,294,32,241
B0261.1.1,1.0,2618,15,2354
B0261.2a.1,1.0,8560,39,8126
B0261.2b.1,1.0,8513,1,8079
B0261.4a.1,1.0,925,111,815
B0261.4b.1,1.0,651,1,651
B0261.5.1,1.0,699,56,646
B0261.6a.1,1.0,617,49,510
B0261.6b.1,1.0,572,220,474
B0261.7.1,1.0,1165,8,1063
B0261.8.1,1.0,664,11,556
B0261.9.1,1.0,526,1,504
B0272.1.1,1.0,1564,3,1337
B0272.2.1,1.0,968,8,649
B0272.3.1,1.0,1052,2,931
B0272.4.1,1.0,969,8,775
B0273.115.1,1.0,480,27,410
B0273.1a.1,1.0,770,51,722
B0273.1a.2,1.0,777,5,676
B0273.1b.1,1.0,285,1,285
B0273.2.1,1.0,1843,36,1493
B0273.3.1,1.0,1477,49,1326
B0273.4a.1,1.0,3027,3,2762
B0273.4b.1,1.0,1704,1,1704
B0273.4c.1,1.0,3107,1,2844
B0273.4d.1,1.0,2904,204,2639
B0273.4d.2,1.0,2701,5,2440
B0273.4e.1,1.0,2259,1,2259
B0273.4f.1,1.0,1974,1,1974
B0280.10a.1,1.0,1216,14,1216
B0280.10b.1,1.0,1238,777,1238
B0280.10b.2,1.0,1132,671,1132
B0280.10b.3,1.0,642,181,642
B0280.10c.1,1.0,1140,1,1140
B0280.11.1,1.0,1398,33,1358
B0280.12a.1,1.0,2849,83,2809
B0280.12b.1,1.0,3104,128,3061
B0280.13.1,1.0,1915,8,1858
B0280.17.1,1.0,895,53,835
B0280.1a.1,1.0,1242,118,1125
B0280.1b.1,1.0,2412,85,1062
B0280.1b.2,1.0,2252,85,1062
B0280.2.1,1.0,2007,24,1907
B0280.3.1,1.0,987,58,813
B0280.3.2,1.0,953,21,776
B0280.4.1,1.0,1197,10,738
B0280.5.1,1.0,1723,5,1579
B0280.7.1,1.0,1173,53,1087
B0280.8.1,1.0,1546,5,1192
B0280.9.1,1.0,1399,5,1294
B0281.1.1,1.0,465,1,465
B0281.3.1,1.0,1068,39,1028
B0281.4.1,1.0,745,211,654
B0281.5a.1,1.0,855,144,767
B0281.5b.1,1.0,735,114,653
B0281.6.1,1.0,933,202,840
B0284.1.1,1.0,2719,1350,2645
B0284.2.1,1.0,1520,97,1371
B0284.3.1,1.0,428,26,307
B0284.4.1,1.0,1263,1,1263
B0285.10.1,1.0,1107,1,1107
B0285.1a.1,1.0,2581,137,2329
B0285.1a.2,1.0,2453,9,2201
B0285.1b.1,1.0,4120,164,2368
B0285.1b.2,1.0,2473,5,2209
B0285.1c.1,1.0,4106,161,2356
B0285.1c.2,1.0,2458,10,2205
B0285.3.1,1.0,746,143,643
B0285.4.1,1.0,1167,16,1017
B0285.5.1,1.0,2198,4,1854
B0285.5.2,1.0,2206,9,1859
B0285.5.3,1.0,1996,9,1859
B0285.6.1,1.0,1830,15,1739
B0285.7.1,1.0,2822,91,2436
B0285.8.1,1.0,1360,167,1282
B0285.9.1,1.0,1198,28,1137
B0286.1.1,1.0,1014,179,871
B0286.1.2,1.0,1107,264,956
B0286.2a.1,1.0,4386,18,4034
B0286.2b.1,1.0,1380,1,1380
B0286.3.1,1.0,1404,11,1282
B0286.4a.1,1.0,1598,59,1393
B0286.4b.1,1.0,1345,36,1139
B0286.4c.1,1.0,1469,309,1262
B0286.4c.2,1.0,1618,460,1413
B0286.4c.3,1.0,1680,520,1473
B0286.4c.4,1.0,1922,762,1715
B0286.4c.5,1.0,1540,382,1335
B0286.4c.6,1.0,1362,254,1207
B0286.4c.7,1.0,1389,229,1182
B0286.4c.8,1.0,1296,138,1091
B0286.4c.9,1.0,1313,155,1108
B0286.4d.1,1.0,1077,1,1077
B0286.5.1,1.0,1388,119,1090
B0286.6.1,1.0,1178,268,1107
B0294.1.1,1.0,627,1,435
B0294.3.1,1.0,567,1,567
B0302.1a.1,1.0,4038,9,3722
B0302.1b.1,1.0,3720,9,3401
B0302.2.1,1.0,409,308,409
B0302.4.1,1.0,219,1,96
B0302.5.1,1.0,772,20,517
B0303.11a.1,1.0,2918,53,2782
B0303.11a.2,1.0,3010,125,2854
B0303.11b.1,1.0,2981,55,2838
B0303.14.1,1.0,1581,29,1252
B0303.15.1,1.0,688,4,591
B0303.16.1,1.0,1060,45,971
B0303.2.1,1.0,905,2,823
B0303.2.2,1.0,895,1,822
B0303.3.1,1.0,1635,4,1350
B0303.3.2,1.0,1718,55,1401
B0303.4.1,1.0,2182,20,1870
B0303.4.2,1.0,2488,112,1962
B0303.7a.1,1.0,1842,34,1515
B0303.7b.1,1.0,1833,107,1510
B0303.8.1,1.0,812,7,726
B0303.9.1,1.0,2026,1,1812
B0304.1a.1,1.0,1053,5,967
B0304.1a.2,1.0,1158,105,1067
B0304.1b.1,1.0,1066,3,977
B0304.1c.1,1.0,1089,7,966
B0304.2.1,1.0,815,23,679
B0304.3.1,1.0,1719,16,1620
B0304.4.1,1.0,626,89,475
B0304.5.1,1.0,1087,17,1033
B0304.5.2,1.0,1047,1,1017
B0304.6.1,1.0,998,1,984
B0304.7.1,1.0,1068,1,1068
B0304.8.1,1.0,1020,1,1020
B0304.9.1,1.0,1065,1,1065
B0310.1a.1,1.0,1828,737,1531
B0310.1b.1,1.0,1244,69,947
B0310.2a.1,1.0,1591,11,1252
B0310.2b.1,1.0,1408,16,1068
B0310.3.1,1.0,1785,387,1640
B0310.3.2,1.0,1557,159,1412
B0310.3.3,1.0,1409,11,1264
B0310.5a.1,1.0,1892,152,1747
B0310.5b.1,1.0,2758,152,667
B0310.6.1,1.0,410,49,336
B0331.1.1,1.0,1682,3,1511
B0331.2.1,1.0,1705,2,1573
B0334.1.1,1.0,545,2,421
B0334.10.1,1.0,553,5,553
B0334.11a.1,1.0,1659,8,1354
B0334.11b.1,1.0,1569,1,1341
B0334.13.1,1.0,500,40,414
B0334.15.1,1.0,878,63,497
B0334.15.2,1.0,699,63,497
B0334.2.1,1.0,1003,85,930
B0334.20.1,1.0,201,1,201
B0334.3a.1,1.0,2006,1,1905
B0334.3b.1,1.0,1962,173,1864
B0334.4.1,1.0,826,12,644
B0334.5.1,1.0,1416,1,1263
B0334.6.1,1.0,1376,3,1187
B0334.7.1,1.0,1017,1,1017
B0334.8a.1,1.0,3929,1,3549
B0334.8b.1,1.0,231,1,231
B0336.10.1,1.0,507,6,428
B0336.10.2,1.0,469,6,428
B0336.11a.1,1.0,1740,2,1705
B0336.11b.1,1.0,1291,312,1256
B0336.12.1,1.0,84,1,84
B0336.13.1,1.0,635,13,432
B0336.1a.1,1.0,2789,34,2424
B0336.1b.1,1.0,2229,1,2229
B0336.2.1,1.0,1173,2,547
B0336.2.2,1.0,1308,95,640
B0336.3a.1,1.0,2896,39,2198
B0336.3b.1,1.0,2909,45,2183
B0336.3c.1,1.0,2906,45,2210
B0336.3d.1,1.0,1968,1,1968
B0336.4a.1,1.0,1834,105,1583
B0336.4b.1,1.0,1768,137,1516
B0336.5a.1,1.0,862,109,714
B0336.5b.1,1.0,824,65,679
B0336.6.1,1.0,1556,25,1434
B0336.6.2,1.0,1568,35,1444
B0336.7a.1,1.0,1578,19,1524
B0336.7b.1,1.0,1552,265,1500
B0336.8.1,1.0,416,4,360
B0336.9a.1,1.0,2381,1,2250
B0336.9b.1,1.0,2436,308,2299
B0336.9b.2,1.0,2456,328,2319
B0336.9b.3,1.0,2348,268,2259
B0336.9b.4,1.0,2890,760,2751
B0336.9b.5,1.0,2562,434,2425
B0336.9b.6,1.0,2975,847,2838
B0336.9c.1,1.0,2839,4,204
B0336.9c.2,1.0,2992,65,265
B0336.9d.1,1.0,2256,1,2256
B0336.9e.1,1.0,571,4,228
B0336.9e.2,1.0,2394,6,230
B0336.9e.3,1.0,2427,6,230
B0344.2.1,1.0,2088,2,1663
B0348.1.1,1.0,264,1,264
B0348.10.1,1.0,165,1,165
B0348.2a.1,1.0,462,158,418
B0348.2b.1,1.0,63,1,63
B0348.4a.1,1.0,4973,183,4442
B0348.4b.1,1.0,5005,183,4478
B0348.4c.1,1.0,2249,189,1967
B0348.4d.1,1.0,5056,1,4539
B0348.4e.1,1.0,5016,1,4503
B0348.4f.1,1.0,4928,183,4403
B0348.4g.1,1.0,4907,189,4373
B0348.4h.1,1.0,4693,190,4167
B0348.4i.1,1.0,4655,189,4130
B0348.4j.1,1.0,4750,189,4229
B0348.4k.1,1.0,4717,187,4191
B0348.4l.1,1.0,4503,189,3986
B0348.4m.1,1.0,4471,189,3950
B0348.4n.1,1.0,4590,136,4590
B0348.4o.1,1.0,5122,185,4603
B0348.4p.1,1.0,4212,1,4212
B0348.4q.1,1.0,4874,189,4364
B0348.4r.1,1.0,4137,1,4137
B0348.4s.1,1.0,4664,171,4271
B0348.4t.1,1.0,3894,1,3894
B0348.4u.1,1.0,4546,164,4021
B0348.4v.1,1.0,4541,183,4139
B0348.4w.1,1.0,3921,1,3921
B0348.4x.1,1.0,3714,1,3714
B0348.4y.1,1.0,3678,1,3678
B0348.5a.1,1.0,1355,149,1234
B0348.5b.1,1.0,1042,122,919
B0348.6a.1,1.0,1091,5,751
B0348.6b.1,1.0,1110,7,762
B0348.6c.1,1.0,1115,11,763
B0350.2a.1,1.0,1173,3,956
B0350.2b.1,1.0,2918,1,2718
B0350.2c.1,1.0,5844,20,5623
B0350.2d.1,1.0,2388,1,2388
B0350.2e.1,1.0,5754,17,5542
B0350.2f.1,1.0,21716,1,20985
B0350.2h.1,1.0,5648,6,5453
B0350.2i.1,1.0,3105,1,3105
B0350.2j.1,1.0,2949,1,2949
B0353.1a.1,1.0,1481,52,1278
B0353.1b.1,1.0,1520,12,1319
B0353.1c.1,1.0,1488,121,1284
B0353.1c.2,1.0,1407,43,1206
B0353.1d.1,1.0,1141,27,938
B0353.1e.1,1.0,1105,434,1105
B0353.1e.2,1.0,885,13,684
B0361.10.1,1.0,1147,6,611
B0361.10.2,1.0,733,6,611
B0361.11.1,1.0,1766,6,1742
B0361.14.1,1.0,42,1,42
B0361.2a.1,1.0,1474,3,1385
B0361.2b.1,1.0,303,1,303
B0361.3.1,1.0,2010,3,1886
B0361.4.1,1.0,1278,22,999
B0361.5a.1,1.0,1441,113,1159
B0361.5b.1,1.0,1432,17,1150
B0361.6.1,1.0,1342,4,1140
B0361.7.1,1.0,1467,7,1275
B0361.7.2,1.0,1476,12,1280
B0361.8.1,1.0,1537,15,1427
B0361.9.1,1.0,1076,152,736
B0365.1.1,1.0,3411,21,3320
B0365.3.1,1.0,3231,9,2999
B0365.3.2,1.0,3153,9,2999
B0365.5a.1,1.0,640,49,516
B0365.5b.1,1.0,486,47,475
B0365.6.1,1.0,2722,43,1680
B0365.7.1,1.0,9828,1,9828
B0365.9.1,1.0,907,87,761
B0379.1a.1,1.0,778,16,654
B0379.2.1,1.0,835,115,795
B0379.3a.1,1.0,3357,4,3168
B0379.3b.1,1.0,3402,4,3156
B0379.4a.1,1.0,1219,85,1122
B0379.4b.1,1.0,1533,58,1533
B0379.4c.1,1.0,1030,9,761
B0379.6.1,1.0,372,1,372
B0379.7.1,1.0,1375,99,1328
B0379.7.2,1.0,1311,35,1264
B0391.11a.1,1.0,1238,9,1145
B0391.11b.1,1.0,807,1,807
B0391.12.1,1.0,1089,1,993
B0391.14.1,1.0,785,132,542
B0391.4.1,1.0,1340,300,1340
B0391.5.1,1.0,1198,5,1141
B0391.6.1,1.0,1576,92,1543
B0391.9.1,1.0,1240,875,1162
B0393.1.1,1.0,879,6,836
B0393.2.1,1.0,2026,32,1789
B0393.2.2,1.0,2131,133,1890
B0393.3.1,1.0,2095,46,1911
B0393.4.1,1.0,2616,82,2493
B0393.5.1,1.0,3862,60,3611
B0393.6.1,1.0,1501,7,1224
B0393.7.1,1.0,1146,48,851
B0393.8.1,1.0,402,1,402
B0393.9a.1,1.0,648,1,567
B0393.9b.1,1.0,915,149,832
B0395.1.1,1.0,1926,307,1851
B0395.1.2,1.0,1633,14,1558
B0395.2.1,1.0,1557,17,1420
B0395.3.1,1.0,2039,7,1851
B0395.3.2,1.0,3065,1033,2877
B0395.3.3,1.0,2128,96,1940
B0399.1a.1,1.0,2615,1,2379
B0399.1b.1,1.0,2479,10,2247
B0399.1c.1,1.0,1990,90,1757
B0399.1d.1,1.0,2043,1,2043
B0399.1e.1,1.0,2275,211,2046
B0399.1f.1,1.0,2156,69,2156
B0399.2.1,1.0,2126,123,2078
B0403.2.1,1.0,2550,39,2225
B0403.3.1,1.0,1433,6,818
B0403.3.2,1.0,1541,12,824
B0403.4.1,1.0,1643,124,1446
B0403.5.1,1.0,1448,85,1326
B0403.6.1,1.0,940,137,802
B0410.1.1,1.0,237,1,237
B0410.2a.1,1.0,1993,15,1613
B0410.2b.1,1.0,1590,1,1590
B0410.3.1,1.0,863,211,561
B0412.1a.1,1.0,1479,127,1389
B0412.1b.1,1.0,1365,353,1306
B0412.2.1,1.0,1645,95,1147
B0412.3a.1,1.0,3352,4,3276
B0412.3b.1,1.0,2460,1,2460
B0412.3c.1,1.0,852,1,852
B0412.3d.1,1.0,222,1,222
B0412.3e.1,1.0,272,1,195
B0412.4.1,1.0,265,10,180
B0414.1.1,1.0,1180,1,1152
B0414.2.1,1.0,1157,31,936
B0414.2.2,1.0,1575,448,1353
B0414.2.3,1.0,1493,366,1271
B0414.3.1,1.0,867,37,714
B0414.5.1,1.0,2803,30,2267
B0414.6.1,1.0,2496,74,2236
B0414.7a.1,1.0,4480,60,4316
B0414.7a.2,1.0,4440,20,4276
B0414.7b.1,1.0,4362,8,4270
B0414.8a.1,1.0,2284,51,2153
B0414.8b.1,1.0,1758,1,1758
B0416.10.1,1.0,840,411,716
B0416.11.1,1.0,455,143,346
B0416.1a.1,1.0,3980,59,3775
B0416.1b.1,1.0,3920,61,3720
B0416.1c.1,1.0,2817,1,2817
B0416.1d.1,1.0,2760,1,2760
B0416.2.1,1.0,691,114,617
B0416.3.1,1.0,1012,68,730
B0416.4.1,1.0,770,10,666
B0416.5.1,1.0,1947,18,1541
B0416.6.1,1.0,1715,31,1380
B0416.7a.1,1.0,475,14,412
B0416.7b.1,1.0,192,1,192
B0432.1.1,1.0,1065,10,966
B0432.10.1,1.0,949,10,921
B0432.10.2,1.0,1054,114,1025
B0432.11.1,1.0,692,65,637
B0432.12.1,1.0,623,2,559
B0432.13.1,1.0,1422,16,1371
B0432.13.2,1.0,1498,23,1378
B0432.14a.1,1.0,577,78,353
B0432.14b.1,1.0,168,1,168
B0432.2.1,1.0,709,28,591
B0432.3.1,1.0,624,1,543
B0432.4.1,1.0,1159,9,929
B0432.5a.1,1.0,1683,1,1575
B0432.5b.1,1.0,2389,917,2281
B0432.5c.1,1.0,1644,85,1644
B0432.7a.1,1.0,3273,80,2863
B0432.7b.1,1.0,2616,1,2616
B0432.8.1,1.0,1062,5,784
B0432.8.2,1.0,1219,5,784
B0432.9.1,1.0,708,12,650
