ref_id,length
B0302.5.1,772
B0303.11a.1,2918
B0303.11a.2,3010
B0303.11b.1,2981
B0303.14.1,1581
B0303.15.1,688
B0303.16.1,1060
B0303.2.1,905
B0303.2.2,895
B0303.3.1,1635
B0303.3.2,1718
B0303.4.1,2182
B0303.4.2,2488
B0303.7a.1,1842
B0303.7b.1,1833
B0303.8.1,812
B0303.9.1,2026
B0304.1a.1,1053
B0304.1a.2,1158
B0304.1b.1,1066
B0304.1c.1,1089
B0304.2.1,815
B0304.3.1,1719
B0304.4.1,626
B0304.5.1,1087
B0304.5.2,1047
B0304.6.1,998
B0304.7.1,1068
B0304.8.1,1020
B0304.9.1,1065
B0310.1a.1,1828
B0310.1b.1,1244
B0310.2a.1,1591
B0310.2b.1,1408
B0310.3.1,1785
B0310.3.2,1557
B0310.3.3,1409
B0310.5a.1,1892
B0310.5b.1,2758
B0310.6.1,410
B0331.1.1,1682
B0331.2.1,1705
B0334.1.1,545
B0334.10.1,553
B0334.11a.1,1659
B0334.11b.1,1569
B0334.13.1,500
B0334.15.1,878
B0334.15.2,699
B0334.2.1,1003
B0334.20.1,201
B0334.3a.1,2006
B0334.3b.1,1962
B0334.4.1,826
B0334.5.1,1416
B0334.6.1,1376
B0334.7.1,1017
B0334.8a.1,3929
B0334.8b.1,231
B0336.10.1,507
B0336.10.2,469
B0336.11a.1,1740
B0336.11b.1,1291
B0336.12.1,84
B0336.13.1,635
B0336.1a.1,2789
B0336.1b.1,2229
B0336.2.1,1173
B0336.2.2,1308
B0336.3a.1,2896
B0336.3b.1,2909
B0336.3c.1,2906
B0336.3d.1,1968
B0336.4a.1,1834
B0336.4b.1,1768
B0336.5a.1,862
B0336.5b.1,824
B0336.6.1,1556
B0336.6.2,1568
B0336.7a.1,1578
B0336.7b.1,1552
B0336.8.1,416
B0336.9a.1,2381
B0336.9b.1,2436
B0336.9b.2,2456
B0336.9b.3,2348
B0336.9b.4,2890
B0336.9b.5,2562
B0336.9b.6,2975
B0336.9c.1,2839
B0336.9c.2,2992
B0336.9d.1,2256
B0336.9e.1,571
B0336.9e.2,2394
B0336.9e.3,2427
B0344.2.1,2088
B0348.1.1,264
B0348.10.1,165
B0348.2a.1,462
B0348.2b.1,63
B0348.4a.1,4973
B0348.4b.1,5005
B0348.4c.1,2249
B0348.4d.1,5056
B0348.4e.1,5016
B0348.4f.1,4928
B0348.4g.1,4907
B0348.4h.1,4693
B0348.4i.1,4655
B0348.4j.1,4750
B0348.4k.1,4717
B0348.4l.1,4503
B0348.4m.1,4471
B0348.4n.1,4590
B0348.4o.1,5122
B0348.4p.1,4212
B0348.4q.1,4874
B0348.4r.1,4137
B0348.4s.1,4664
B0348.4t.1,3894
B0348.4u.1,4546
B0348.4v.1,4541
B0348.4w.1,3921
B0348.4x.1,3714
B0348.4y.1,3678
B0348.5a.1,1355
B0348.5b.1,1042
B0348.6a.1,1091
B0348.6b.1,1110
B0348.6c.1,1115
B0350.2a.1,1173
B0350.2b.1,2918
B0350.2c.1,5844
B0350.2d.1,2388
B0350.2e.1,5754
B0350.2f.1,21716
B0350.2h.1,5648
B0350.2i.1,3105
B0350.2j.1,2949
B0353.1a.1,1481
B0353.1b.1,1520
B0353.1c.1,1488
B0353.1c.2,1407
B0353.1d.1,1141
B0353.1e.1,1105
B0353.1e.2,885
B0361.10.1,1147
B0361.10.2,733
B0361.11.1,1766
B0361.14.1,42
B0361.2a.1,1474
B0361.2b.1,303
B0361.3.1,2010
B0361.4.1,1278
B0361.5a.1,1441
B0361.5b.1,1432
B0361.6.1,1342
B0361.7.1,1467
B0361.7.2,1476
B0361.8.1,1537
B0361.9.1,1076
B0365.1.1,3411
B0365.3.1,3231
B0365.3.2,3153
B0365.5a.1,640
B0365.5b.1,486
B0365.6.1,2722
B0365.7.1,9828
B0365.9.1,907
B0379.1a.1,778
B0379.2.1,835
B0379.3a.1,3357
B0379.3b.1,3402
B0379.4a.1,1219
B0379.4b.1,1533
B0379.4c.1,1030
B0379.6.1,372
B0379.7.1,1375
B0379.7.2,1311
B0391.11a.1,1238
B0391.11b.1,807
B0391.12.1,1089
B0391.14.1,785
B0391.4.1,1340
B0391.5.1,1198
B0391.6.1,1576
B0391.9.1,1240
B0393.1.1,879
B0393.2.1,2026
B0393.2.2,2131
B0393.3.1,2095
B0393.4.1,2616
B0393.5.1,3862
B0393.6.1,1501
B0393.7.1,1146
B0393.8.1,402
B0393.9a.1,648
B0393.9b.1,915
B0395.1.1,1926
B0395.1.2,1633
B0395.2.1,1557
B0395.3.1,2039
B0395.3.2,3065
B0395.3.3,2128
B0399.1a.1,2615
B0399.1b.1,2479
B0399.1c.1,1990
B0399.1d.1,2043
B0399.1e.1,2275
B0399.1f.1,2156
B0399.2.1,2126
B0403.2.1,2550
B0403.3.1,1433
B0403.3.2,1541
B0403.4.1,1643
B0403.5.1,1448
B0403.6.1,940
B0410.1.1,237
B0410.2a.1,1993
B0410.2b.1,1590
B0410.3.1,863
B0412.1a.1,1479
B0412.1b.1,1365
B0412.2.1,1645
B0412.3a.1,3352
B0412.3b.1,2460
B0412.3c.1,852
B0412.3d.1,222
B0412.3e.1,272
B0412.4.1,265
B0414.1.1,1180
B0414.2.1,1157
B0414.2.2,1575
B0414.2.3,1493
B0414.3.1,867
B0414.5.1,2803
B0414.6.1,2496
B0414.7a.1,4480
B0414.7a.2,4440
B0414.7b.1,4362
B0414.8a.1,2284
B0414.8b.1,1758
B0416.10.1,840
B0416.11.1,455
B0416.1a.1,3980
B0416.1b.1,3920
B0416.1c.1,2817
B0416.1d.1,2760
B0416.2.1,691
B0416.3.1,1012
B0416.4.1,770
B0416.5.1,1947
B0416.6.1,1715
B0416.7a.1,475
B0416.7b.1,192
B0432.1.1,1065
B0432.10.1,949
B0432.10.2,1054
B0432.11.1,692
B0432.12.1,623
B0432.13.1,1422
B0432.13.2,1498
B0432.14a.1,577
B0432.14b.1,168
B0432.2.1,709
B0432.3.1,624
B0432.4.1,1159
B0432.5a.1,1683
B0432.5b.1,2389
B0432.5c.1,1644
B0432.7a.1,3273
B0432.7b.1,2616
B0432.8.1,1062
B0432.8.2,1219
B0432.9.1,708
B0454.1.1,1255
B0454.10.1,1117
B0454.2.1,1029
B0454.26.1,1297
B0454.3.1,1090
B0454.4.1,1011
B0454.5.1,617
B0454.6.1,1976
B0454.7.1,1259
B0454.8.1,1976
B0454.9.1,1077
B0457.1a.1,3618
B0457.1b.1,3613
B0457.1c.1,480
B0457.2.1,1122
B0457.4.1,885
B0457.6.1,608
B0462.3.1,969
B0462.4.1,545
B0462.5.1,784
B0464.1.1,1747
B0464.2a.1,3644
B0464.2a.2,3759
B0464.2d.1,718
B0464.2d.2,822
B0464.3.1,352
B0464.4a.1,2059
B0464.4a.2,2009
B0464.4a.3,2143
B0464.5a.1,4215
B0464.5a.2,3278
B0464.5b.1,2870
B0464.5c.1,3103
B0464.5d.1,1860
B0464.6.1,2071
B0464.6.2,2276
B0464.7.1,540
B0464.8.1,1123
B0464.9.1,1187
B0478.1a.1,1554
B0478.1b.1,1473
B0478.3.1,661
B0491.1.1,1412
B0491.2.1,1042
B0491.2.2,1023
B0491.3.1,802
B0491.4a.1,1623
B0491.4b.1,1636
B0491.5.1,1136
B0491.6a.1,1715
B0491.6b.1,2157
B0491.7.1,974
B0491.8a.1,3095
B0491.8b.1,3017
B0491.8c.1,2905
B0495.1.1,1213
B0495.10a.1,2300
B0495.10b.1,2038
B0495.10c.1,2402
B0495.2a.1,2301
B0495.2b.1,2284
B0495.4.1,2054
B0495.5.1,2275
B0495.5.2,2288
B0495.6.1,326
B0495.7.1,2941
B0495.8a.1,1122
B0495.8b.1,1447
B0495.8b.2,1321
B0495.8b.3,1178
B0495.9.1,917
B0496.1.1,988
B0496.11.1,371
B0496.2.1,1126
B0496.3a.1,5225
B0496.3a.2,4770
B0496.3b.1,5025
B0496.3c.1,876
B0496.3d.1,5070
B0496.3e.1,5384
B0496.3f.1,4635
B0496.3g.1,4878
B0496.3h.1,4848
B0496.3h.2,4747
B0496.3i.1,4788
B0496.5.1,1068
B0496.6.1,855
B0496.7.1,407
B0496.8.1,1676
B0507.1.1,2038
B0507.10.1,1430
B0507.11.1,1051
B0507.2.1,1560
B0507.3a.1,1440
B0507.3b.1,957
B0507.4.1,636
B0507.5a.1,645
B0507.5b.1,555
B0507.6.1,2142
B0507.7.1,874
B0507.8.1,1281
B0507.9.1,771
B0511.1.1,1495
B0511.10.1,1648
B0511.11.1,1795
B0511.12a.1,6961
B0511.12b.1,6867
B0511.13a.1,734
B0511.13b.1,1171
B0511.17.1,243
B0511.19.1,666
B0511.3.1,999
B0511.4.1,1188
B0511.5.1,1004
B0511.6.1,1806
B0511.7.1,973
B0511.8.1,1689
B0511.9a.1,893
B0511.9b.1,627
B0511.9c.1,902
B0511.9d.1,561
B0513.1a.1,3631
B0513.1b.1,636
B0513.1c.1,3635
B0513.2a.1,766
B0513.2a.2,663
B0513.2b.1,75
B0513.3a.1,240
B0513.3b.1,96
B0513.4a.1,428
B0513.4b.1,114
B0513.5a.1,2093
B0513.5b.1,1548
B0513.90.1,408
B0513.9a.1,433
B0513.9b.1,416
B0523.3.1,1716
B0523.3.2,2006
B0523.5.1,4615
B0524.2.1,1155
B0524.3.1,1650
B0524.5.1,617
B0524.6.1,2062
B0545.1a.1,2855
B0545.1b.1,2816
B0545.1b.2,2090
B0545.1b.3,2343
B0545.3.1,1117
B0545.4.1,354
B0546.1.1,467
B0546.2a.1,1581
B0546.2b.1,972
B0546.3a.1,2161
B0546.3b.1,975
B0546.3c.1,546
B0546.4a.1,748
B0546.4c.1,90
B0546.5.1,1120
B0547.1.1,1203
B0547.2.1,183
B0547.4a.1,957
B0547.4b.1,522
B0554.1.1,291
B0554.2.1,1890
B0554.4.1,1812
B0554.5.1,1564
B0554.6.1,1327
B0554.7a.1,1914
B0554.7b.1,573
B0554.7c.1,258
B0563.1.1,717
B0563.10.1,372
B0563.18.1,683
B0563.2a.1,1510
B0563.2a.2,1482
B0563.2b.1,1260
B0563.4.1,1079
B0563.5.1,542
B0563.6a.1,1730
B0563.6b.1,1576
B0563.6b.2,1962
B0563.6c.1,1386
B0563.7.1,901
B0563.8.1,452
B0563.9.1,305
B0564.10a.1,1348
B0564.10b.1,1231
B0564.10c.1,558
B0564.10d.1,546
B0564.11.1,1273
B0564.11.2,1350
B0564.1a.1,1182
B0564.1a.2,1247
B0564.1a.3,1145
B0564.1b.1,1212
B0564.1b.2,1402
B0564.1c.1,180
B0564.2a.1,757
B0564.2b.1,228
B0564.3.1,1487
B0564.4.1,1288
B0564.6.1,1272
B0564.7a.1,1925
B0564.7b.1,540
B0564.9.1,1272
BE0003N10.1.1,2461
BE0003N10.2.1,1666
BE0003N10.3a.1,2468
BE0003N10.3b.1,1974
BE0003N10.6a.1,1139
BE0003N10.6b.1,765
BE0003N10.6c.1,690
BE0003N10.6d.1,444
BE0003N10.6e.1,87
BE10.1.1,1081
BE10.2.1,1668
BE10.2.2,1786
BE10.3.1,2530
BE10.4.1,1106
BE10.5.1,377
C01A2.1a.1,1169
C01A2.1b.1,351
C01A2.1c.1,1313
C01A2.1c.2,1211
C01A2.2a.1,814
C01A2.2b.1,252
C01A2.3.1,1351
C01A2.4.1,717
C01A2.5.1,1118
C01A2.6.1,840
C01A2.7a.1,673
C01A2.7b.1,729
C01A2.9.1,312
C01B10.10.1,1794
C01B10.11.1,1125
C01B10.3.1,1302
C01B10.44.1,781
C01B10.4a.1,1851
C01B10.4b.1,937
C01B10.5a.1,425
C01B10.5b.1,436
C01B10.5c.1,516
C01B10.5e.1,120
C01B10.6a.1,1566
C01B10.6b.1,1512
C01B10.6c.1,1272
C01B10.6d.1,129
C01B10.7a.1,444
C01B10.7b.1,180
C01B10.8.1,2110
C01B10.9.1,1996
C01B12.1.1,1030
C01B12.2.1,1452
C01B12.3.1,1986
C01B12.4.1,1413
C01B12.5.1,1775
C01B12.8.1,632
C01B4.1.1,1059
C01B4.10.1,1050
C01B4.3.1,1059
C01B4.5.1,984
C01B4.6.1,993
C01B4.7a.1,1428
C01B4.7c.1,843
C01B4.7d.1,96
C01B4.8a.1,1437
C01B4.8b.1,225
C01B4.9a.1,1635
C01B4.9b.1,1179
C01B4.9c.1,612
C01B4.9d.1,219
C01B7.1a.1,3290
C01B7.1a.2,3231
C01B7.1b.1,3394
C01B7.1b.2,3326
C01B7.1c.1,3315
C01B7.1c.2,3252
C01B7.1d.1,2742
C01B7.4a.1,2782
C01B7.4b.1,2290
C01B7.6.1,11574
C01B7.7.1,609
C01B9.1a.1,5011
C01B9.1b.1,5025
C01B9.4.1,217
C01C10.1a.1,956
C01C10.1b.1,818
C01C10.2a.1,1141
C01C10.2b.1,1212
C01C10.3.1,1504
C01C10.4.1,1205
C01C4.1.1,710
C01C4.2.1,1628
C01C4.3a.1,2228
C01C4.3a.2,5296
C01C4.3a.3,1644
C01C4.3a.4,1552
C01C4.3b.1,2421
C01C4.3b.2,2257
C01C4.3c.1,1500
C01C4.3d.1,1686
C01C4.3e.1,1497
C01C4.3f.1,1860
C01C7.1a.1,3580
C01C7.1b.1,3566
C01F1.1.1,1562
C01F1.2.1,1071
C01F1.3a.1,1963
C01F1.3b.1,447
C01F1.4.1,1156
C01F1.5.1,1309
C01F1.6.1,1820
C01F4.2a.1,3257
C01F4.2b.1,1869
C01F6.1.1,1923
C01F6.14.1,225
C01F6.2.1,1625
C01F6.4a.1,1666
C01F6.4c.1,591
C01F6.5.1,774
C01F6.6a.1,1857
C01F6.6b.1,2383
C01F6.6c.1,1723
C01F6.6d.1,1796
C01F6.6e.1,996
C01F6.6f.1,1065
C01F6.6g.1,1101
C01F6.6h.1,1931
C01F6.6i.1,1655
C01F6.6j.1,792
C01F6.8a.1,779
C01F6.8b.1,839
C01F6.9a.1,375
C01F6.9c.1,87
C01G10.1.1,3828
C01G10.10a.1,1321
C01G10.11a.1,1585
C01G10.11b.1,2377
C01G10.11c.1,864
C01G10.11d.1,717
C01G10.11e.1,363
C01G10.11f.1,1729
C01G10.12.1,627
C01G10.14.1,553
C01G10.15.1,352
C01G10.16.1,483
C01G10.16.2,501
C01G10.16.3,344
C01G10.17.1,311
C01G10.18.1,260
C01G10.3.1,1083
C01G10.4.1,272
C01G10.5.1,293
C01G10.6.1,490
C01G10.7.1,1070
C01G10.8.1,1177
C01G10.8.2,1144
C01G10.9.1,1464
C01G12.1.1,1739
C01G12.10.1,351
C01G12.11.1,375
C01G12.13.1,1065
C01G12.16.1,447
C01G12.2.1,240
C01G12.3.1,651
C01G12.5.1,840
C01G12.6.1,339
C01G12.7.1,1962
C01G12.8.1,3137
C01G12.9.1,889
C01G5.25.1,689
C01G5.3.1,1196
C01G5.4a.1,3397
C01G5.5.1,1010
C01G5.6.1,1403
C01G5.7a.1,408
C01G5.7b.1,987
C01G5.8a.1,2902
C01G5.8b.1,2679
C01G5.8b.2,1405
C01G5.9.1,1451
C01G6.1a.1,1121
C01G6.1b.1,1221
C01G6.1b.2,1418
C01G6.2.1,1019
C01G6.2.2,712
C01G6.3.1,1285
C01G6.4.1,992
C01G6.5.1,3678
C01G6.6a.1,2170
C01G6.7.1,1679
C01G6.8a.1,3281
C01G6.8b.1,3232
C01G6.8c.1,2907
C01G6.8c.2,2796
C01G6.9.1,1249
C01G8.1a.1,1167
C01G8.1b.1,1007
C01G8.2.1,1395
C01G8.3.1,1224
C01G8.4.1,1023
C01G8.4.2,1022
C01G8.5a.1,2360
C01G8.5b.1,2290
C01G8.6.1,1277
C01G8.9a.1,6378
C01G8.9a.2,6380
C01G8.9c.1,5456
C01G8.9d.1,5635
C01H6.1.1,986
C01H6.2.1,2187
C01H6.3.1,1011
C01H6.4.1,1419
C01H6.4.2,1378
C01H6.5a.1,2221
C01H6.5b.1,2046
C01H6.5c.1,1635
C01H6.5d.1,1320
C01H6.5e.1,1307
C01H6.5f.1,1668
C01H6.6.1,1832
C01H6.7a.1,2158
C01H6.7a.2,2225
C01H6.7b.1,2077
C01H6.8a.1,904
C01H6.8b.1,605
C01H6.9.1,2999
C02A12.1.1,797
C02A12.10.1,1084
C02A12.2.1,936
C02A12.3.1,918
C02A12.4.1,902
C02A12.5.1,1073
C02A12.6.1,909
C02A12.8.1,2109
C02A12.9.1,897
C02B10.1.1,1458
C02B10.2.1,714
C02B10.3.1,1460
C02B10.4.1,882
C02B10.5a.1,2637
C02B10.5a.2,2587
C02B10.5b.1,1785
C02B10.6.1,1269
C02B4.1a.1,4802
C02B4.1b.1,4697
C02B4.2.1,1598
C02B4.3.1,435
C02B4.4.1,687
C02B8.1.1,752
C02B8.12.1,1333
C02B8.3.1,739
C02B8.4.1,866
C02B8.4.2,785
C02B8.5.1,1137
C02B8.6.1,1811
C02B8.7.1,159
C02C2.1.1,2144
C02C2.3.1,1426
C02C2.4.1,1827
C02C2.5.1,1131
C02C6.14.1,36
C02C6.1a.1,2671
C02C6.1b.1,2517
C02C6.2a.1,2392
C02C6.2b.1,2402
C02C6.3a.1,1386
C02C6.3b.1,1232
C02C6.3c.1,491
C02C6.3d.1,141
C02D4.1.1,1281
C02D4.2a.1,1609
C02D4.2b.1,2087
C02D4.2c.1,600
C02D4.2d.1,591
C02D4.2e.1,1368
C02D4.2f.1,1384
C02D4.2g.1,1309
C02D5.1.1,1330
C02D5.2a.1,1189
C02D5.2b.1,792
C02D5.3.1,852
C02D5.4.1,862
C02D5.4.2,929
C02E11.1a.1,3628
C02E11.1b.1,3639
C02E7.10.1,461
C02E7.13.1,1050
C02E7.1a.1,3185
C02E7.1b.1,3138
C02E7.2.1,1282
C02E7.3.1,993
C02E7.4a.1,867
C02E7.4b.1,1560
C02E7.5.1,1086
C02E7.6.1,329
C02E7.7.1,308
C02E7.8.1,261
C02E7.9.1,1038
C02F12.10a.1,933
C02F12.10b.1,141
C02F12.1a.1,1064
C02F12.1b.1,939
C02F12.1c.1,1058
C02F12.1d.1,456
C02F12.1e.1,570
C02F12.3.1,697
C02F12.3.2,625
C02F12.4.1,2211
C02F12.5.1,691
C02F12.7.1,3706
C02F12.8.1,2256
C02F4.1.1,5644
C02F4.2a.1,2852
C02F4.2a.2,2668
C02F4.2b.1,1638
C02F4.2c.1,2874
